Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.618198E-01,0.000000E+00,1.870317E+00,2.755879E+04,5.098996E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.311394E+04,3.011087E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.311394E+04,3.011087E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
00:20:00,8.618198E-01,0.000000E+00,1.880327E+00,2.760738E+04,5.103989E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.304553E+04,3.004010E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.304553E+04,3.004010E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
00:30:00,8.618198E-01,0.000000E+00,1.889347E+00,2.764215E+04,5.106993E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.297712E+04,2.996931E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.297712E+04,2.996931E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
00:40:00,8.618198E-01,0.000000E+00,1.897574E+00,2.766585E+04,5.108864E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.290870E+04,2.989854E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.290870E+04,2.989854E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
00:50:00,8.618198E-01,0.000000E+00,1.905156E+00,2.768054E+04,5.110036E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.284029E+04,2.982777E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.284029E+04,2.982777E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
01:00:00,8.618198E-01,0.000000E+00,1.912203E+00,2.768776E+04,5.110657E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.277187E+04,2.975698E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.277187E+04,2.975698E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
01:10:00,8.618198E-01,0.000000E+00,1.920226E+00,2.773901E+04,5.116003E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.272626E+04,2.970980E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.272626E+04,2.970980E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
01:20:00,8.618198E-01,0.000000E+00,1.927921E+00,2.778568E+04,5.120958E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.268065E+04,2.966261E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.268065E+04,2.966261E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
01:30:00,8.618198E-01,0.000000E+00,1.935331E+00,2.782837E+04,5.125546E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.263504E+04,2.961543E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.263504E+04,2.961543E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
01:40:00,8.618198E-01,0.000000E+00,1.942502E+00,2.786772E+04,5.129809E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.258943E+04,2.956824E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00,8.618198E-01,0.000000E+00,8.618198E-01,1.258943E+04,2.956824E+04,8.618198E-01,1.299011E+04,8.618198E-01,0.000000E+00,0.000000E+00
