Heating_Setpoint_RL,Cooling_Setpoint_RL
14.14675235748291,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.25
12.0,23.32707405090332
12.0,23.400157928466797
12.0,23.476221084594727
12.0,23.555082321166992
12.0,23.719385147094727
12.0,23.710773468017578
12.0,23.709186553955078
12.0,23.709012985229492
12.0,23.710243225097656
12.0,23.712682723999023
12.0,23.974260330200195
12.0,24.009323120117188
12.0,24.051469802856445
12.0,24.09282875061035
12.0,24.159046173095703
12.0,24.209579467773438
12.0,24.889310836791992
12.0,25.153743743896484
12.0,25.36545181274414
12.0,25.575349807739258
12.0,25.76712417602539
12.0,25.927257537841797
12.0,26.077512741088867
12.0,26.04143524169922
12.0,25.982471466064453
12.0,25.918237686157227
12.0,25.846412658691406
12.0,25.767683029174805
12.0,23.25
12.52816390991211,23.25
12.33763599395752,23.25
12.574553489685059,23.25
12.858061790466309,23.25
13.370222091674805,23.25
15.15951919555664,23.25
15.128573417663574,23.25
15.306839942932129,23.25
15.181147575378418,23.25
15.761099815368652,23.25
16.648906707763672,23.25
17.835878372192383,23.428953170776367
18.376888275146484,23.75787925720215
21.2471923828125,24.164995193481445
22.989025115966797,24.356456756591797
23.25,24.45994758605957
23.25,24.519643783569336
22.58047866821289,24.871177673339844
23.25,25.19700050354004
23.25,25.437435150146484
23.25,25.497209548950195
23.25,25.52684783935547
23.25,25.53299331665039
22.386371612548828,25.9661865234375
23.25,25.894577026367188
23.25,25.919519424438477
23.25,25.89484977722168
23.25,25.881866455078125
23.25,25.863525390625
23.25,25.850290298461914
23.25,25.81016731262207
23.25,25.76791000366211
23.25,25.6966552734375
23.25,25.61913299560547
23.25,25.517107009887695
23.25,25.6688232421875
23.25,25.551836013793945
23.25,25.538543701171875
23.25,25.379867553710938
23.25,25.26975440979004
23.25,25.05589485168457
22.09384536743164,25.164936065673828
21.835269927978516,24.81731605529785
20.414295196533203,24.496320724487305
18.66134262084961,23.969942092895508
16.07243537902832,23.3223934173584
15.211214065551758,23.25
