energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,TimeLimit.truncated
,,,,,,
-0.05354959462156278,-3.252571135831803,-2677.4797310781387,-4.065713919789753,2677.4797310781387,1.4025893536038687,False
-0.07362001076005212,-1.9179266159769797,-3681.0005380026055,-2.3974082699712245,3681.0005380026055,0.8743882663432778,False
-0.07025748718135608,-1.699114526563107,-3512.874359067803,-2.1238931582038836,3512.874359067803,0.7532507999505995,False
-0.05732356031986837,-1.6930946927746753,-2866.1780159934183,-2.116368365968344,2866.1780159934183,0.7497015848412261,False
-0.05883764700541059,-1.6928491721755254,-2941.882350270529,-2.1160614652194067,2941.882350270529,0.749556561409431,False
-0.05535933218323639,-1.6929562672353928,-2767.966609161819,-2.116195334044241,2767.966609161819,0.7496198226108319,False
-0.0537830684917667,-1.692998080813772,-2689.153424588335,-2.1162476010172147,2689.153424588335,0.7496445208637219,False
-0.05261522728020696,-1.693027041027622,-2630.7613640103477,-2.1162838012845273,2630.7613640103477,0.7496616265925979,False
-0.05168380919371442,-1.6930498163063206,-2584.1904596857207,-2.1163122703829007,2584.1904596857207,0.7496750789031381,False
-0.05096797726822265,-1.693068037736219,-2548.3988634111324,-2.1163350471702738,2548.3988634111324,0.7496858413341485,False
-0.05042409873850894,-1.6930830372391839,-2521.204936925447,-2.11635379654898,2521.204936925447,0.7496947006570984,False
-0.049972449255873776,-1.6930957903819117,-2498.6224627936886,-2.1163697379773896,2498.6224627936886,0.7497022331256282,False
-0.04960113367552284,-1.6931069059884347,-2480.0566837761417,-2.1163836324855434,2480.0566837761417,0.7497087983596202,False
-0.049289802071176586,-1.6931167721002858,-2464.490103558829,-2.116395965125357,2464.490103558829,0.7497146255658471,False
-0.04902153441000135,-1.6931256786572897,-2451.0767205000675,-2.116407098321612,2451.0767205000675,0.7497198860025307,False
-0.0487833403209189,-1.6931338491295589,-2439.167016045945,-2.1164173114119484,2439.167016045945,0.7497247116647117,False
-0.04856540279744035,-1.6931414559586633,-2428.2701398720174,-2.116426819948329,2428.2701398720174,0.7497292044058028,False
-0.04851061675641863,-1.693148531164419,-2425.530837820931,-2.1164356639555235,2425.530837820931,0.7497333831416952,False
-0.048506084952565955,-1.6931552299008517,-2425.3042476282976,-2.1164440373760645,2425.3042476282976,0.749737339512361,False
-0.04852713641677391,-1.693161612507873,-2426.3568208386955,-2.116452015634841,2426.3568208386955,0.7497411091578599,False
-0.04856506761028644,-1.6931677286604598,-2428.253380514322,-2.1164596608255746,2428.253380514322,0.7497447214187893,False
-0.048615879678965,-1.6931736198015916,-2430.79398394825,-2.1164670247519894,2430.79398394825,0.7497482007733645,False
-0.04867712290677583,-1.6931793204987025,-2433.8561453387915,-2.116474150623378,2433.8561453387915,0.7497515676386683,False
-0.04870070885399387,-1.6931847238300965,-2435.0354426996932,-2.1164809047876205,2435.0354426996932,0.7497547588675637,False
-0.04871514581456258,-1.693189993738136,-2435.7572907281287,-2.11648749217267,2435.7572907281287,0.7497578712862882,False
-0.04872843876343944,-1.6931951589554615,-2436.4219381719718,-2.116493948694327,2436.4219381719718,0.7497609218650574,False
-0.04872941993854257,-1.693200385512347,-2436.4709969271285,-2.1165004818904336,2436.4709969271285,0.7497640086615149,False
-0.047567678129662776,-1.6932052261990933,-2378.3839064831386,-2.1165065327488666,2378.3839064831386,0.749766867555163,False
-0.04673897747018934,-1.6932105632013643,-2336.948873509467,-2.116513204001705,2336.948873509467,0.7497700195616517,False
-0.045936390359105815,-1.6932162776094595,-2296.8195179552904,-2.116520347011824,2296.8195179552904,0.7497733944510934,False
-0.0453257169150663,-1.6932222402653883,-2266.285845753315,-2.116527800331735,2266.285845753315,0.7497769159418262,False
-0.04459460757839055,-1.6932283858210615,-2229.7303789195275,-2.1165354822763267,2229.7303789195275,0.7497805454385187,False
-0.04290491886781951,-1.693234808039933,-2145.2459433909753,-2.116543510049916,2145.2459433909753,0.7497843383153366,False
