month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,htg_setpoint,clg_setpoint,core_bottom_air_temperature,core_mid_air_temperature,core_top_air_temperature,firstfloor_plenum_air_temperature,midfloor_plenum_air_temperature,topfloor_plenum_air_temperature,perimeter_bot_zn_1_air_temperature,perimeter_bot_zn_2_air_temperature,perimeter_bot_zn_3_air_temperature,perimeter_bot_zn_4_air_temperature,perimeter_mid_zn_1_air_temperature,perimeter_mid_zn_2_air_temperature,perimeter_mid_zn_3_air_temperature,perimeter_mid_zn_4_air_temperature,perimeter_top_zn_1_air_temperature,perimeter_top_zn_2_air_temperature,perimeter_top_zn_3_air_temperature,perimeter_top_zn_4_air_temperature,core_bottom_air_humidity,core_mid_air_humidity,core_top_air_humidity,firstfloor_plenum_air_humidity,midfloor_plenum_air_humidity,topfloor_plenum_air_humidity,perimeter_bot_zn_1_air_humidity,perimeter_bot_zn_2_air_humidity,perimeter_bot_zn_3_air_humidity,perimeter_bot_zn_4_air_humidity,perimeter_mid_zn_1_air_humidity,perimeter_mid_zn_2_air_humidity,perimeter_mid_zn_3_air_humidity,perimeter_mid_zn_4_air_humidity,perimeter_top_zn_1_air_humidity,perimeter_top_zn_2_air_humidity,perimeter_top_zn_3_air_humidity,perimeter_top_zn_4_air_humidity,HVAC_electricity_demand_rate
7.0,1.0,0.0,24.731403350830078,88.0,2.3333332538604736,195.0,0.0,0.0,15.600000381469727,26.700000762939453,26.099559783935547,25.82807159423828,25.726293563842773,25.3732852935791,25.320432662963867,25.067890167236328,25.33709716796875,25.319744110107422,25.296751022338867,25.3131160736084,25.691761016845703,25.69877815246582,25.67522621154785,25.685590744018555,25.599010467529297,25.593074798583984,25.58187484741211,25.59355354309082,43.42597198486328,44.4925422668457,44.824737548828125,52.01413345336914,54.16230392456055,56.32859420776367,59.36113357543945,59.187408447265625,58.3850212097168,59.21744155883789,61.19728469848633,62.158294677734375,61.273494720458984,62.22857666015625,63.984649658203125,65.06095123291016,64.06781005859375,65.0501480102539,200.83154296875
7.0,1.0,0.0,24.68488883972168,87.0,2.066666603088379,210.0,0.0,0.0,15.600000381469727,26.700000762939453,26.0992374420166,25.833330154418945,25.729877471923828,25.375192642211914,25.322860717773438,25.062353134155273,25.33205223083496,25.312517166137695,25.291765213012695,25.308700561523438,25.691513061523438,25.696056365966797,25.67496109008789,25.686203002929688,25.597368240356445,25.589052200317383,25.580196380615234,25.592864990234375,43.42684555053711,44.478729248046875,44.815250396728516,52.178653717041016,54.36186218261719,56.57920837402344,59.62229919433594,59.469947814941406,58.65712356567383,59.49009323120117,61.51490020751953,62.48627853393555,61.591224670410156,62.544124603271484,64.32939147949219,65.41329193115234,64.41270446777344,65.38971710205078,201.198974609375
7.0,1.0,0.0,24.638376235961914,86.0,1.7999999523162842,225.0,0.0,0.0,15.600000381469727,26.700000762939453,26.098440170288086,25.838502883911133,25.733156204223633,25.377429962158203,25.32570457458496,25.056598663330078,25.32673454284668,25.305652618408203,25.286518096923828,25.30329132080078,25.691102981567383,25.694019317626953,25.674556732177734,25.685894012451172,25.59546661376953,25.585472106933594,25.578285217285156,25.59111976623535,43.428924560546875,44.46513748168945,44.80657958984375,52.31502151489258,54.526336669921875,56.79243469238281,59.842681884765625,59.707183837890625,58.88688278198242,59.72216796875,61.77531433105469,62.75284194946289,61.851654052734375,62.80413055419922,64.6104507446289,65.69831085205078,64.69380187988281,65.66768646240234,201.198974609375
7.0,1.0,0.0,24.591861724853516,85.0,1.5333333015441895,240.0,0.0,0.0,15.600000381469727,26.700000762939453,26.09932518005371,25.843759536743164,25.73631477355957,25.379838943481445,25.328815460205078,25.050357818603516,25.321401596069336,25.299468994140625,25.281293869018555,25.297590255737305,25.690635681152344,25.69266128540039,25.674144744873047,25.685224533081055,25.5933837890625,25.582489013671875,25.57624053955078,25.5888729095459,43.426666259765625,44.4513053894043,44.79820251464844,52.42532730102539,54.658382415771484,56.97178268432617,60.02458572387695,59.901329040527344,59.0765495300293,59.914581298828125,61.98350524902344,62.96360397338867,62.05965805053711,63.012184143066406,64.83422088623047,65.92240905761719,64.91740417480469,65.88896942138672,201.198974609375
7.0,1.0,0.0,24.54534912109375,84.0,1.2666666507720947,255.0,0.0,0.0,15.600000381469727,26.700000762939453,26.101774215698242,25.849077224731445,25.73933219909668,25.38231658935547,25.33208465576172,25.04343032836914,25.316028594970703,25.293624877929688,25.276090621948242,25.291833877563477,25.690032958984375,25.691495895385742,25.673662185668945,25.684385299682617,25.591012954711914,25.579647064208984,25.57398223876953,25.586305618286133,43.42038345336914,44.43730926513672,44.790191650390625,52.51197052001953,54.7611198425293,57.12117385864258,60.17203140258789,60.057743072509766,59.230125427246094,60.07067108154297,62.145965576171875,63.126888275146484,62.2216796875,63.17412185668945,65.0086441040039,66.09525299072266,65.09137725830078,66.060791015625,201.198974609375
7.0,1.0,0.0,24.49883460998535,83.0,1.0,270.0,0.0,0.0,15.600000381469727,26.700000762939453,26.10489845275879,25.854381561279297,25.74212646484375,25.38483428955078,25.33546257019043,25.035709381103516,25.31051254272461,25.287761688232422,25.272218704223633,25.285966873168945,25.689199447631836,25.690189361572266,25.674596786499023,25.683332443237305,25.58824920654297,25.576570510864258,25.573123931884766,25.58336639404297,43.41236114501953,44.42334747314453,44.782772064208984,52.5770149230957,54.837303161621094,57.24399948120117,60.2890739440918,60.18156814575195,59.34669494628906,60.19449996948242,62.26875686645508,63.24992370605469,62.33793640136719,63.29609680175781,65.14104461669922,66.22555541992188,65.21637725830078,66.19058990478516,201.198974609375
7.0,1.0,1.0,24.585203170776367,83.5,1.0,295.0,0.0,0.0,15.600000381469727,26.700000762939453,26.10809326171875,25.859621047973633,25.74464225769043,25.387283325195312,25.338787078857422,25.0272274017334,25.306032180786133,25.284387588500977,25.2708797454834,25.282716751098633,25.688852310180664,25.69101905822754,25.67776870727539,25.68454933166504,25.58563804626465,25.575464248657227,25.57430648803711,25.582502365112305,43.4041633605957,44.40956497192383,44.776092529296875,52.633914947509766,54.903568267822266,57.358299255371094,60.39095687866211,60.28437042236328,59.44222640991211,60.29684066772461,62.37517166137695,63.35044479370117,62.431304931640625,63.39506149291992,65.2577133178711,66.333251953125,65.31829833984375,66.29736328125,201.198974609375
7.0,1.0,1.0,24.671573638916016,84.0,1.0,320.0,0.0,0.0,15.600000381469727,26.700000762939453,26.11118507385254,25.864791870117188,25.746889114379883,25.389650344848633,25.341999053955078,25.01835060119629,25.304126739501953,25.28362274169922,25.271520614624023,25.282184600830078,25.690752029418945,25.694149017333984,25.682558059692383,25.688173294067383,25.585079193115234,25.576473236083984,25.576854705810547,25.583852767944336,43.39623260498047,44.39596939086914,44.77013397216797,52.690731048583984,54.96989440917969,57.47385787963867,60.483882904052734,60.37805938720703,59.53085708618164,60.38968276977539,62.474159240722656,63.44344711303711,62.51953125,63.48609924316406,65.36810302734375,66.43463897705078,65.41656494140625,66.3974380493164,201.198974609375
7.0,1.0,1.0,24.75794219970703,84.5,1.0,345.0,0.0,0.0,15.600000381469727,26.700000762939453,26.114221572875977,25.86990737915039,25.748924255371094,25.3919734954834,25.34513282775879,25.009662628173828,25.30437660217285,25.284374237060547,25.27313995361328,25.283193588256836,25.694732666015625,25.698671340942383,25.688135147094727,25.693204879760742,25.586517333984375,25.57872772216797,25.57999610900879,25.58646583557129,43.38844299316406,44.38251876831055,44.76472854614258,52.75004959106445,55.039485931396484,57.592384338378906,60.57326126098633,60.470680236816406,59.620208740234375,60.481361389160156,62.57141876220703,63.53749465942383,62.61080551147461,63.578125,65.4779281616211,66.53865814208984,65.51968383789062,66.50009155273438,201.198974609375
7.0,1.0,1.0,24.844310760498047,85.0,1.0,10.0,0.0,0.0,15.600000381469727,26.700000762939453,26.117273330688477,25.874990463256836,25.75084114074707,25.394298553466797,25.348243713378906,25.00171661376953,25.305736541748047,25.28722381591797,25.275114059448242,25.283233642578125,25.69986915588379,25.705503463745117,25.694047927856445,25.697036743164062,25.589075088500977,25.58333969116211,25.5833740234375,25.587745666503906,43.380619049072266,44.36915969848633,44.7596435546875,52.81200408935547,55.112483978271484,57.71236038208008,60.6631965637207,60.56049346923828,59.71287536621094,60.58128356933594,62.67082214355469,63.629554748535156,62.707252502441406,63.681392669677734,65.5910415649414,66.641357421875,65.62950897216797,66.6159896850586,201.198974609375
