month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,htg_setpoint,clg_setpoint,air_temperature,air_humidity,people_occupant,co2_emission,HVAC_electricity_demand_rate,total_electricity_HVAC
4.0,1.0,0.0,10.449954986572266,94.66666412353516,1.3333333730697632,306.6666564941406,0.0,0.0,12.800000190734863,40.0,19.93791389465332,64.99824523925781,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,0.0,10.599748611450195,89.33333587646484,1.1666666269302368,313.3333435058594,0.0,0.0,14.418753623962402,23.25,19.886526107788086,65.00809478759766,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,0.0,10.749542236328125,84.0,1.0,320.0,0.0,0.0,12.0,23.25,19.837675094604492,64.9803695678711,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,0.0,10.899336814880371,78.66666412353516,0.8333333134651184,326.6666564941406,0.0,0.0,12.0,23.25,19.791074752807617,64.91779327392578,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,0.0,11.0491304397583,73.33333587646484,0.6666666865348816,333.3333435058594,0.0,0.0,12.0,23.25,19.74689483642578,64.82180786132812,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,0.0,11.19892406463623,68.0,0.5,340.0,0.0,0.0,12.0,23.25,19.70499038696289,64.69448852539062,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.168636322021484,68.33333587646484,0.6666666865348816,340.0,0.0,0.0,12.0,23.25,19.665218353271484,64.56135559082031,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.138348579406738,68.66666412353516,0.8333333134651184,340.0,0.0,0.0,12.0,23.25,19.627458572387695,64.4368667602539,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.108060836791992,69.0,1.0,340.0,0.0,0.0,12.0,23.25,19.591581344604492,64.32420349121094,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.077773094177246,69.33333587646484,1.1666666269302368,340.0,0.0,0.0,12.0,23.25,19.557445526123047,64.22171783447266,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.047484397888184,69.66666412353516,1.3333333730697632,340.0,0.0,0.0,12.0,23.25,19.524911880493164,64.12715911865234,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,1.0,11.017196655273438,70.0,1.5,340.0,0.0,0.0,12.0,23.25,19.493852615356445,64.03897857666016,0.0,0.0,94.38114929199219,56628.6875
4.0,1.0,2.0,10.943354606628418,70.33333587646484,1.4166666269302368,346.6666564941406,0.0,0.0,12.0,23.25,19.464153289794922,63.95653533935547,0.0,0.0,94.38114929199219,56628.6875
